trade_id,entry_time,entry_price,exit_time,exit_price,exit_reason,size,pnl,pnl_pct,is_partial,entry_pos,exit_pos,bars_held,capital_before,capital_after,stop_price,tp_price
0,2023-02-17 02:00:00,23787.0,2023-02-17 20:00:00,24578.196428571428,take_profit,18.95862956192022,14999.999999999965,3.326171558294142,False,0.5,0.5,72,100000.0,114999.99999999997,23470.52142857143,24578.196428571428
1,2023-02-18 10:00:00,24527.3,2023-02-18 18:00:00,24789.585714285713,take_profit,57.18954248365945,14999.999999999793,1.06936236065818,False,0.5,0.5,32,114999.99999999997,129999.99999999977,24422.385714285712,24789.585714285713
2,2023-02-19 08:00:00,24605.5,2023-02-19 15:15:00,24889.99642857143,take_profit,52.72473920084359,15000.000000000096,1.1562310400984757,False,0.5,0.5,29,129999.99999999977,144999.99999999985,24491.70142857143,24889.99642857143
3,2023-03-15 03:30:00,24753.9,2023-03-15 05:00:00,24858.4,pos_exit,20.80361388492636,2173.9776509748044,0.4221557007178666,False,0.5,-0.5,6,144999.99999999985,147173.97765097464,24465.488571428574,25474.928571428572
4,2023-03-15 06:00:00,24705.6,2023-03-15 06:45:00,24799.9,pos_exit,35.98046774608072,3392.9581084555166,0.38169483841721275,False,0.5,-0.5,3,147173.97765097464,150566.93575943017,24538.842857142856,25122.492857142854
5,2023-03-15 08:15:00,24814.8,2023-03-15 08:45:00,24768.8,pos_exit,32.61350665082588,-1500.2213059379906,-0.18537324499895225,False,0.5,-0.5,2,150566.93575943017,149066.71445349217,24630.827142857142,25274.73214285714
6,2023-03-15 10:15:00,24469.1,2023-03-15 12:30:00,24996.917857142857,take_profit,28.418894505003905,15000.000000000102,2.157079161648193,False,0.5,0.5,9,149066.71445349217,164066.71445349226,24257.972857142857,24996.917857142857
7,2023-03-19 00:15:00,26977.8,2023-03-19 15:00:00,27631.682142857142,take_profit,22.939913811466557,14999.999999999916,2.4237785989114857,False,0.5,0.25,59,164066.71445349226,179066.71445349217,26716.24714285714,27631.682142857142
8,2023-03-20 06:30:00,27459.1,2023-03-20 07:30:00,28068.978571428568,take_profit,24.595059906538776,14999.999999999956,2.2210435572490344,False,0.5,0.5,4,179066.71445349217,194066.71445349214,27215.14857142857,28068.978571428568
9,2023-04-28 08:30:00,29199.9,2023-04-28 13:30:00,29036.20285714286,stop_loss,36.65305267567316,-5999.999999999999,-0.5606085735127224,False,0.5,0.5,20,194066.71445349214,188066.71445349214,29036.20285714286,29609.14285714286
10,2023-05-06 08:00:00,29245.0,2023-05-06 12:30:00,29120.69714285714,stop_loss,48.26920424768942,-6000.0,-0.4250396893241872,False,0.5,0.5,18,188066.71445349214,182066.71445349214,29120.69714285714,29555.757142857146
11,2023-05-30 00:15:00,27661.8,2023-05-30 10:30:00,27973.875,take_profit,48.06536890170565,14999.999999999825,1.1281803787172229,False,0.75,0.75,41,182066.71445349214,197066.71445349196,27536.969999999998,27973.875
12,2023-06-07 09:45:00,26476.5,2023-06-07 11:30:00,26898.664285714283,take_profit,35.531191310085525,14999.999999999807,1.5944867551008757,False,0.75,0.25,7,197066.71445349196,212066.71445349176,26307.634285714284,26898.664285714283
13,2023-06-18 00:30:00,26406.8,2023-06-18 05:15:00,26605.024999999998,take_profit,75.67158531971161,14999.999999999724,0.7506589211869615,False,0.75,0.75,19,212066.71445349176,227066.7144534915,26327.51,26605.024999999998
14,2023-06-22 06:15:00,30120.6,2023-06-22 11:00:00,29949.04714285714,stop_loss,34.97464338354664,-6000.0,-0.5695532530655384,False,0.5,0.5,19,227066.7144534915,221066.7144534915,29949.04714285714,30549.48214285714
