timestamp,equity,from_tier,to_tier
2023-03-19 15:15:00,154166.85229607558,Tier 1: $0k-$150k ($5.0k risk),Tier 2: $150k-$225k ($10.5k risk)
2023-06-18 05:30:00,227960.1235285017,Tier 2: $150k-$225k ($10.5k risk),Tier 3: $225k-$338k ($14.6k risk)
2023-06-22 11:15:00,213335.1235285017,Tier 3: $225k-$338k ($14.6k risk),Tier 2: $150k-$225k ($10.5k risk)
2023-12-21 14:00:00,228012.04256973232,Tier 2: $150k-$225k ($10.5k risk),Tier 3: $225k-$338k ($14.6k risk)
2024-01-27 08:30:00,214131.43471751176,Tier 3: $225k-$338k ($14.6k risk),Tier 2: $150k-$225k ($10.5k risk)
2024-01-27 19:45:00,226118.22437596292,Tier 2: $150k-$225k ($10.5k risk),Tier 3: $225k-$338k ($14.6k risk)
2024-01-31 10:00:00,217168.70110395685,Tier 3: $225k-$338k ($14.6k risk),Tier 2: $150k-$225k ($10.5k risk)
2024-02-10 19:30:00,233181.9980370422,Tier 2: $150k-$225k ($10.5k risk),Tier 3: $225k-$338k ($14.6k risk)
2024-02-13 13:45:00,217094.4980370422,Tier 3: $225k-$338k ($14.6k risk),Tier 2: $150k-$225k ($10.5k risk)
2024-02-14 09:00:00,243495.8212200838,Tier 2: $150k-$225k ($10.5k risk),Tier 3: $225k-$338k ($14.6k risk)
2024-03-08 14:45:00,354163.7401344183,Tier 3: $225k-$338k ($14.6k risk),Tier 4: $338k-$507k ($20.2k risk)
2024-03-09 10:30:00,329863.7401344183,Tier 4: $338k-$507k ($20.2k risk),Tier 3: $225k-$338k ($14.6k risk)
2024-03-10 01:15:00,376012.65232576075,Tier 3: $225k-$338k ($14.6k risk),Tier 4: $338k-$507k ($20.2k risk)
2024-03-21 15:15:00,333417.9548449531,Tier 4: $338k-$507k ($20.2k risk),Tier 3: $225k-$338k ($14.6k risk)
2024-03-22 05:00:00,338558.85791818565,Tier 3: $225k-$338k ($14.6k risk),Tier 4: $338k-$507k ($20.2k risk)
2024-03-22 10:30:00,327297.60791818565,Tier 4: $338k-$507k ($20.2k risk),Tier 3: $225k-$338k ($14.6k risk)
2024-04-09 14:00:00,216302.0561027594,Tier 3: $225k-$338k ($14.6k risk),Tier 2: $150k-$225k ($10.5k risk)
2024-04-20 06:15:00,225615.8874296458,Tier 2: $150k-$225k ($10.5k risk),Tier 3: $225k-$338k ($14.6k risk)
2024-05-26 07:45:00,357541.5265588078,Tier 3: $225k-$338k ($14.6k risk),Tier 4: $338k-$507k ($20.2k risk)
2024-05-31 09:30:00,335266.5265588078,Tier 4: $338k-$507k ($20.2k risk),Tier 3: $225k-$338k ($14.6k risk)
2024-06-04 13:30:00,349317.5910245064,Tier 3: $225k-$338k ($14.6k risk),Tier 4: $338k-$507k ($20.2k risk)
2024-06-28 08:00:00,334741.3114836879,Tier 4: $338k-$507k ($20.2k risk),Tier 3: $225k-$338k ($14.6k risk)
2024-06-28 11:30:00,339544.65814712294,Tier 3: $225k-$338k ($14.6k risk),Tier 4: $338k-$507k ($20.2k risk)
2024-06-28 14:30:00,328283.40814712294,Tier 4: $338k-$507k ($20.2k risk),Tier 3: $225k-$338k ($14.6k risk)
2024-07-21 10:00:00,340862.48314052634,Tier 3: $225k-$338k ($14.6k risk),Tier 4: $338k-$507k ($20.2k risk)
2024-11-07 15:45:00,515975.7790413833,Tier 4: $338k-$507k ($20.2k risk),Tier 5: $507k-$760k ($28.0k risk)
2025-01-31 15:45:00,774369.6139179275,Tier 5: $507k-$760k ($28.0k risk),Tier 6: $760k-$1200k ($38.0k risk)
2025-02-04 21:30:00,755377.7235528264,Tier 6: $760k-$1200k ($38.0k risk),Tier 5: $507k-$760k ($28.0k risk)
2025-03-15 11:45:00,761778.0255920667,Tier 5: $507k-$760k ($28.0k risk),Tier 6: $760k-$1200k ($38.0k risk)
2025-03-16 11:15:00,738258.0255920667,Tier 6: $760k-$1200k ($38.0k risk),Tier 5: $507k-$760k ($28.0k risk)
2025-03-25 13:45:00,822980.1475478914,Tier 5: $507k-$760k ($28.0k risk),Tier 6: $760k-$1200k ($38.0k risk)
2025-07-18 14:30:00,714983.2048182001,Tier 6: $760k-$1200k ($38.0k risk),Tier 5: $507k-$760k ($28.0k risk)
2025-08-07 10:15:00,766758.3431348585,Tier 5: $507k-$760k ($28.0k risk),Tier 6: $760k-$1200k ($38.0k risk)
2025-08-14 12:30:00,721158.3431348585,Tier 6: $760k-$1200k ($38.0k risk),Tier 5: $507k-$760k ($28.0k risk)
2025-09-08 09:15:00,761383.4465066501,Tier 5: $507k-$760k ($28.0k risk),Tier 6: $760k-$1200k ($38.0k risk)
2025-12-10 12:00:00,730431.0001802719,Tier 6: $760k-$1200k ($38.0k risk),Tier 5: $507k-$760k ($28.0k risk)
2025-12-19 15:30:00,801080.4638747097,Tier 5: $507k-$760k ($28.0k risk),Tier 6: $760k-$1200k ($38.0k risk)
