timestamp,equity,from_tier,to_tier
2023-06-18 05:30:00,156254.52589231616,Tier 1: $0k-$150k ($5.0k risk),Tier 2: $150k-$225k ($10.5k risk)
2023-06-22 11:15:00,149060.24174832067,Tier 2: $150k-$225k ($10.5k risk),Tier 1: $0k-$150k ($5.0k risk)
2023-12-21 14:00:00,158822.04691663923,Tier 1: $0k-$150k ($5.0k risk),Tier 2: $150k-$225k ($10.5k risk)
2024-01-27 09:00:00,142630.26345428202,Tier 2: $150k-$225k ($10.5k risk),Tier 1: $0k-$150k ($5.0k risk)
2024-03-07 14:45:00,167183.57288766792,Tier 1: $0k-$150k ($5.0k risk),Tier 2: $150k-$225k ($10.5k risk)
2024-04-09 07:00:00,145856.4690508385,Tier 2: $150k-$225k ($10.5k risk),Tier 1: $0k-$150k ($5.0k risk)
2024-04-20 15:45:00,150579.2208560236,Tier 1: $0k-$150k ($5.0k risk),Tier 2: $150k-$225k ($10.5k risk)
2024-06-04 13:30:00,231031.06508101628,Tier 2: $150k-$225k ($10.5k risk),Tier 3: $225k-$338k ($14.6k risk)
2024-07-02 08:15:00,214633.2737859186,Tier 3: $225k-$338k ($14.6k risk),Tier 2: $150k-$225k ($10.5k risk)
2024-07-16 16:00:00,237598.53910287452,Tier 2: $150k-$225k ($10.5k risk),Tier 3: $225k-$338k ($14.6k risk)
2024-11-13 14:00:00,343544.8449705263,Tier 3: $225k-$338k ($14.6k risk),Tier 4: $338k-$507k ($20.2k risk)
2024-11-14 07:15:00,319244.8449705263,Tier 4: $338k-$507k ($20.2k risk),Tier 3: $225k-$338k ($14.6k risk)
2024-11-29 02:15:00,356743.0846252753,Tier 3: $225k-$338k ($14.6k risk),Tier 4: $338k-$507k ($20.2k risk)
2024-11-30 11:00:00,332270.4953458494,Tier 4: $338k-$507k ($20.2k risk),Tier 3: $225k-$338k ($14.6k risk)
2024-12-12 15:00:00,387017.4240927773,Tier 3: $225k-$338k ($14.6k risk),Tier 4: $338k-$507k ($20.2k risk)
2025-01-03 07:45:00,335959.1973221387,Tier 4: $338k-$507k ($20.2k risk),Tier 3: $225k-$338k ($14.6k risk)
2025-01-03 15:15:00,392996.6973221389,Tier 3: $225k-$338k ($14.6k risk),Tier 4: $338k-$507k ($20.2k risk)
2025-01-07 14:45:00,322596.2139935993,Tier 4: $338k-$507k ($20.2k risk),Tier 3: $225k-$338k ($14.6k risk)
2025-01-19 02:30:00,345353.9631749338,Tier 3: $225k-$338k ($14.6k risk),Tier 4: $338k-$507k ($20.2k risk)
2025-01-22 10:15:00,327301.0099718437,Tier 4: $338k-$507k ($20.2k risk),Tier 3: $225k-$338k ($14.6k risk)
2025-01-29 20:30:00,359531.5692135713,Tier 3: $225k-$338k ($14.6k risk),Tier 4: $338k-$507k ($20.2k risk)
2025-03-25 13:45:00,538999.3031428944,Tier 4: $338k-$507k ($20.2k risk),Tier 5: $507k-$760k ($28.0k risk)
2026-01-03 21:00:00,816964.7612887871,Tier 5: $507k-$760k ($28.0k risk),Tier 6: $760k-$1200k ($38.0k risk)
