timestamp,equity,from_tier,to_tier
2024-05-26 07:45:00,170475.64114430975,Tier 1: $0k-$150k ($5.0k risk),Tier 2: $150k-$225k ($10.5k risk)
2024-06-04 10:00:00,141600.64114430975,Tier 2: $150k-$225k ($10.5k risk),Tier 1: $0k-$150k ($5.0k risk)
2024-06-04 13:30:00,154100.64114431,Tier 1: $0k-$150k ($5.0k risk),Tier 2: $150k-$225k ($10.5k risk)
2024-06-26 15:45:00,148023.22922336636,Tier 2: $150k-$225k ($10.5k risk),Tier 1: $0k-$150k ($5.0k risk)
2024-07-16 16:00:00,160876.2928070364,Tier 1: $0k-$150k ($5.0k risk),Tier 2: $150k-$225k ($10.5k risk)
2024-12-12 15:00:00,232446.35124470753,Tier 2: $150k-$225k ($10.5k risk),Tier 3: $225k-$338k ($14.6k risk)
2025-01-16 14:45:00,218249.73435088727,Tier 3: $225k-$338k ($14.6k risk),Tier 2: $150k-$225k ($10.5k risk)
2025-01-19 02:30:00,256837.23435088719,Tier 2: $150k-$225k ($10.5k risk),Tier 3: $225k-$338k ($14.6k risk)
2025-03-25 13:45:00,381412.2823937125,Tier 3: $225k-$338k ($14.6k risk),Tier 4: $338k-$507k ($20.2k risk)
2025-08-07 10:15:00,515611.99187571707,Tier 4: $338k-$507k ($20.2k risk),Tier 5: $507k-$760k ($28.0k risk)
2025-08-14 12:30:00,473611.99187571707,Tier 5: $507k-$760k ($28.0k risk),Tier 4: $338k-$507k ($20.2k risk)
2025-09-09 06:15:00,544080.727186442,Tier 4: $338k-$507k ($20.2k risk),Tier 5: $507k-$760k ($28.0k risk)
2025-09-30 09:45:00,468480.727186442,Tier 5: $507k-$760k ($28.0k risk),Tier 4: $338k-$507k ($20.2k risk)
2025-10-13 13:45:00,538357.0939144801,Tier 4: $338k-$507k ($20.2k risk),Tier 5: $507k-$760k ($28.0k risk)
2025-11-06 11:15:00,497460.1496664782,Tier 5: $507k-$760k ($28.0k risk),Tier 4: $338k-$507k ($20.2k risk)
2025-12-19 15:30:00,513873.63756493997,Tier 4: $338k-$507k ($20.2k risk),Tier 5: $507k-$760k ($28.0k risk)
2026-01-03 21:00:00,761061.1375649383,Tier 5: $507k-$760k ($28.0k risk),Tier 6: $760k-$1200k ($38.0k risk)
