streak_length,max_streak_level,start_time,end_time,first_entry_price,last_exit_price,streak_high,streak_low,price_range,total_loss,num_trades
5,3,2023-06-22 06:15:00,2023-11-10 07:15:00,30120.6,36548.79714285714,44779.3,24581.0,20198.300000000003,-43815.0,5
4,3,2024-01-09 09:45:00,2024-01-27 08:45:00,46497.8,41481.34714285714,41977.0,41360.1,616.9000000000015,-54112.5,4
13,9,2024-03-11 00:00:00,2024-04-09 13:45:00,68909.4,70122.43571428572,72890.4,59541.0,13349.399999999994,-111459.9825,13
8,6,2024-06-13 02:30:00,2024-07-07 13:15:00,67882.4,56936.729999999996,64988.8,53329.5,11659.300000000003,-105275.7,8
4,3,2024-11-14 05:30:00,2024-11-28 10:00:00,89827.3,94882.21857142857,99660.0,88736.1,10923.899999999994,-131280.0,4
3,3,2024-12-22 00:00:00,2025-01-03 07:30:00,97154.4,96303.32571428572,97433.4,96061.5,1371.8999999999942,-98000.0,3
4,3,2025-01-07 10:00:00,2025-01-18 08:00:00,101399.8,102244.18428571429,105784.0,97293.6,8490.399999999994,-144960.0,4
3,3,2025-01-22 07:45:00,2025-01-26 23:00:00,105063.8,103861.00714285714,104700.0,97680.0,7020.0,-90720.0,3
4,3,2025-02-04 08:45:00,2025-03-03 14:45:00,98245.0,90479.94,93666.0,76560.0,17106.0,-111440.0,4
8,6,2025-04-13 11:15:00,2025-05-28 13:45:00,84447.7,108127.06857142858,111959.5,92700.0,19259.5,-222429.19999999998,8
7,6,2025-06-17 07:15:00,2025-08-05 07:30:00,106425.1,114014.77714285714,120951.5,111850.0,9101.5,-189544.0,7
5,3,2025-10-28 00:00:00,2025-11-25 14:30:00,114034.1,86686.04428571429,92000.0,85226.4,6773.600000000006,-163020.00000000003,5
4,3,2025-12-04 11:45:00,2025-12-10 11:45:00,92894.9,91751.33571428571,94555.0,84408.6,10146.399999999994,-125680.0,4
