trade_id,entry_time,entry_price,exit_time,exit_price,exit_reason,size,pnl,pnl_pct,is_partial,entry_pos,exit_pos,bars_held,capital_before,capital_after,stop_price,tp_price,base_risk,adjusted_risk,streak_level_at_entry,consecutive_losses_at_entry,reduction_pct_at_entry,tier_at_entry
0,2023-02-19 08:00:00,24605.5,2023-02-19 15:15:00,24889.99642857143,take_profit,43.93728266736966,12500.00000000008,1.1562310400984757,False,0.5,0.5,29,100000.0,112500.00000000009,24535.414285714287,24889.99642857143,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk)
1,2023-04-28 08:30:00,29199.9,2023-04-28 13:30:00,29089.885714285712,stop_loss,38.18026320382621,-4200.3743847524975,-0.37676254272887627,False,0.5,0.5,20,112500.00000000009,108299.62561524758,29089.885714285712,29609.14285714286,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk)
2,2023-05-06 08:00:00,29245.0,2023-05-06 10:15:00,29208.314285714285,stop_loss,50.28042109134315,-1844.5731623224642,-0.1254426886158838,False,0.5,0.5,9,108299.62561524758,106455.05245292511,29208.314285714285,29555.757142857146,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk)
3,2023-05-06 10:15:00,29201.8,2023-05-06 12:15:00,29190.678571428572,stop_loss,37.69398942414373,-419.2110109527319,-0.03808473645948813,False,0.5,0.5,8,106455.05245292511,106035.84144197238,29190.678571428572,29533.417857142857,5000,5000.0,0,2,0.0,Tier 1: $0k-$150k ($5.0k risk)
4,2023-05-30 00:30:00,27655.9,2023-05-30 05:00:00,27684.435714285715,stop_loss,27.2815140460821,778.4974901006858,0.10318128965506008,False,0.75,0.75,18,106035.84144197238,106814.33893207306,27684.435714285715,27999.539285714287,5000,3000.0,3,3,0.4,Tier 1: $0k-$150k ($5.0k risk)
5,2023-06-07 09:45:00,26476.5,2023-06-07 11:30:00,26898.664285714283,take_profit,37.01165761467242,15624.999999999798,1.5944867551008757,False,0.75,0.25,7,106814.33893207306,122439.33893207286,26307.634285714284,26898.664285714283,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk)
6,2023-06-18 00:30:00,26406.8,2023-06-18 05:15:00,26605.024999999998,take_profit,63.059654433093016,12499.99999999977,0.7506589211869615,False,0.75,0.75,19,122439.33893207286,134939.33893207263,26439.821428571428,26605.024999999998,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk)
7,2023-10-26 06:00:00,34486.9,2023-10-26 10:00:00,34346.32,stop_loss,44.45867121923405,-6250.0,-0.4076330432715081,False,0.5,0.5,16,134939.33893207263,128689.33893207263,34346.32,34838.35,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk)
8,2023-10-26 10:00:00,34426.0,2023-10-26 10:45:00,34216.479999999996,stop_loss,29.83008781977796,-6250.0,-0.608609771684204,False,0.5,0.5,3,128689.33893207263,122439.33893207263,34216.479999999996,34949.8,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk)
9,2023-10-30 05:15:00,34253.2,2023-10-30 07:15:00,34223.69285714286,stop_loss,38.23882879929974,-1128.3185840706228,-0.08614419341007298,False,0.5,0.5,8,122439.33893207263,121311.020348002,34223.69285714286,34580.09285714285,5000,5000.0,0,2,0.0,Tier 1: $0k-$150k ($5.0k risk)
