trade_id,entry_time,entry_price,exit_time,exit_price,exit_reason,size,pnl,pnl_pct,is_partial,entry_pos,exit_pos,bars_held,capital_before,capital_after,stop_price,tp_price,base_risk,adjusted_risk,streak_level_at_entry,consecutive_losses_at_entry,reduction_pct_at_entry,tier_at_entry,entry_adx,entry_regime
0,2023-02-19 08:00:00,24605.5,2023-02-19 11:15:00,24693.442857142858,tp1_partial,17.574913066947865,1545.588069144744,0.3574113801502021,True,0.5,0.5,13,100000.0,101545.58806914474,24491.70142857143,24889.99642857143,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),22.034855431110646,trending
0,2023-02-19 08:00:00,24605.5,2023-02-19 15:15:00,24889.99642857143,take_profit,26.362369600421793,7500.000000000048,1.1562310400984757,False,0.5,0.5,29,101545.58806914474,109045.58806914478,24491.70142857143,24889.99642857143,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),22.034855431110646,trending
1,2023-03-19 00:15:00,26977.8,2023-03-19 03:15:00,27154.157142857144,tp1_partial,6.117310349724416,1078.8313752478402,0.6537120997899938,True,0.5,0.25,12,109045.58806914478,110124.41944439262,26716.24714285714,27631.682142857142,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),37.326334209006305,trending
1,2023-03-19 00:15:00,26977.8,2023-03-19 15:00:00,27631.682142857142,take_profit,9.175965524586623,5999.999999999967,2.4237785989114857,False,0.5,0.25,59,110124.41944439262,116124.4194443926,26716.24714285714,27631.682142857142,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),37.326334209006305,trending
2,2023-04-28 10:30:00,29293.7,2023-04-28 13:30:00,29113.61,stop_loss,22.211116663890262,-4000.0000000000005,-0.6147738250886714,False,0.5,0.5,12,116124.4194443926,112124.4194443926,29113.61,29743.925,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),23.051303400535577,trending
3,2023-05-06 08:00:00,29245.0,2023-05-06 12:30:00,29120.69714285714,stop_loss,50.28042109134315,-6250.0,-0.4250396893241872,False,0.5,0.5,18,112124.4194443926,105874.4194443926,29120.69714285714,29555.757142857146,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk),23.589919892479053,trending
4,2023-05-30 00:30:00,27655.9,2023-05-30 02:30:00,27781.4,tp1_partial,18.187676030721402,2282.553341855536,0.4537910536268933,True,0.75,0.75,8,105874.4194443926,108156.97278624814,27518.444285714286,27999.539285714287,5000,5000.0,0,2,0.0,Tier 1: $0k-$150k ($5.0k risk),26.377101326281373,trending
4,2023-05-30 00:30:00,27655.9,2023-05-30 10:30:00,27999.539285714287,take_profit,27.281514046082105,9374.999999999902,1.242553255234093,False,0.75,0.75,40,108156.97278624814,117531.97278624804,27518.444285714286,27999.539285714287,5000,5000.0,0,2,0.0,Tier 1: $0k-$150k ($5.0k risk),26.377101326281373,trending
5,2023-06-07 09:45:00,26476.5,2023-06-07 10:00:00,26486.801428571427,stop_loss,37.01165761467242,381.27294722766374,0.038907818523698734,False,0.75,0.25,1,117531.97278624804,117913.2457334757,26486.801428571427,26898.664285714283,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),26.60888124257455,trending
6,2023-06-18 00:30:00,26406.8,2023-06-18 02:00:00,26495.414285714283,tp1_partial,25.223861773237203,2235.194493991249,0.3355737375005077,True,0.75,0.75,6,117913.2457334757,120148.44022746696,26327.51,26605.024999999998,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),20.295996996837452,trending
6,2023-06-18 00:30:00,26406.8,2023-06-18 05:15:00,26605.024999999998,take_profit,37.835792659855805,7499.999999999862,0.7506589211869615,False,0.75,0.75,19,120148.44022746696,127648.44022746681,26327.51,26605.024999999998,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),20.295996996837452,trending
7,2023-08-30 09:15:00,27327.5,2023-08-30 10:30:00,27423.685714285715,tp1_partial,19.54522450831549,1879.9713802069923,0.35197407112145357,True,0.75,0.75,5,127648.44022746681,129528.4116076738,27245.63857142857,27532.153571428567,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),30.74511839460549,trending
7,2023-08-30 09:15:00,27327.5,2023-08-30 13:30:00,27245.63857142857,stop_loss,29.31783676247323,-2400.0,-0.2995569611981645,False,0.75,0.75,17,129528.4116076738,127128.4116076738,27245.63857142857,27532.153571428567,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),30.74511839460549,trending
8,2023-10-26 10:00:00,34426.0,2023-10-26 10:45:00,34216.479999999996,stop_loss,29.83008781977796,-6250.0,-0.608609771684204,False,0.5,0.5,3,127128.4116076738,120878.4116076738,34216.479999999996,34949.8,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk),22.516459737646432,trending
9,2024-01-27 08:45:00,41455.4,2024-01-27 09:00:00,41466.12714285714,stop_loss,35.552630081994955,381.37814183662283,0.025876346283331672,False,0.75,0.25,1,120878.4116076738,121259.78974951043,41466.12714285714,41894.889285714286,5000,5000.0,0,2,0.0,Tier 1: $0k-$150k ($5.0k risk),28.099503581775608,trending
10,2024-01-31 00:45:00,42913.0,2024-01-31 07:45:00,43058.94285714286,tp1_partial,7.22048742978772,1053.778565467311,0.34009008259235657,True,1.25,1.25,28,121259.78974951043,122313.56831497773,42608.311428571425,43788.97964285714,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),30.01363725256958,trending
10,2024-01-31 00:45:00,42913.0,2024-01-31 09:45:00,42608.311428571425,stop_loss,10.830731144681579,-3299.9999999999995,-0.7100146142860544,False,1.25,1.25,36,122313.56831497773,119013.56831497773,42608.311428571425,43788.97964285714,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),30.01363725256958,trending
11,2024-02-10 10:45:00,46872.6,2024-02-10 11:15:00,47109.7,tp1_partial,14.456836018174279,3427.7158199091004,0.5058392323020241,True,1.0,1.0,2,119013.56831497773,122441.28413488684,46682.37857142857,47419.486607142855,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk),23.62991951163409,trending
11,2024-02-10 10:45:00,46872.6,2024-02-10 19:15:00,47419.486607142855,take_profit,21.685254027261415,11859.37499999996,1.1667511662311383,False,1.0,1.0,34,122441.28413488684,134300.6591348868,46682.37857142857,47419.486607142855,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk),23.62991951163409,trending
12,2024-02-13 11:00:00,49730.4,2024-02-13 13:30:00,49475.49428571429,stop_loss,26.970756694352133,-6874.999999999999,-0.5125752342344174,False,1.25,1.25,10,134300.6591348868,127425.65913488681,49475.49428571429,50463.25392857143,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),21.101349208226463,trending
13,2024-03-11 00:00:00,68909.4,2024-03-11 00:30:00,68441.43857142856,stop_loss,12.821569543277223,-6000.000000000001,-0.6790966523746169,False,1.75,1.75,2,127425.65913488681,121425.65913488681,68441.43857142856,70430.27464285714,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk),37.38636948228953,trending
14,2024-03-22 00:30:00,65690.1,2024-03-22 04:45:00,66295.27142857143,tp1_partial,3.8723434215423227,2343.4316003339313,0.9212521043070814,True,1.25,1.25,17,121425.65913488681,123769.09073522074,65121.96857142858,67323.47785714286,5000,5000.0,0,2,0.0,Tier 1: $0k-$150k ($5.0k risk),24.005834282077473,trending
14,2024-03-22 00:30:00,65690.1,2024-03-22 09:30:00,65712.74785714287,stop_loss,5.808515132313484,131.5504209287747,0.03447681940331909,False,1.25,1.25,36,123769.09073522074,123900.64115614952,65712.74785714287,67323.47785714286,5000,5000.0,0,2,0.0,Tier 1: $0k-$150k ($5.0k risk),24.005834282077473,trending
15,2024-03-29 05:15:00,70411.4,2024-03-29 06:00:00,70121.69,stop_loss,18.98450174312297,-5500.000000000001,-0.41145325898929985,False,1.25,1.25,3,123900.64115614952,118400.64115614952,70121.69,71244.31624999999,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),27.21081982480178,trending
16,2024-04-05 08:00:00,67319.4,2024-04-05 09:00:00,66787.4357142857,stop_loss,9.399127223900564,-5000.0,-0.7902094874795229,False,0.75,0.75,4,118400.64115614952,113400.64115614952,66787.4357142857,68649.31071428572,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk),24.483677309340063,trending
17,2024-04-05 09:00:00,67008.0,2024-04-05 09:15:00,66533.63571428572,stop_loss,10.54042252036564,-5000.0,-0.7079218686041727,False,0.75,0.75,1,113400.64115614952,108400.64115614952,66533.63571428572,68193.91071428572,5000,5000.0,0,2,0.0,Tier 1: $0k-$150k ($5.0k risk),20.32297038116791,trending
18,2024-04-09 02:15:00,71548.4,2024-04-09 04:15:00,71076.0157142857,stop_loss,6.985837801547736,-3300.0,-0.6602303974851823,False,1.25,1.25,8,108400.64115614952,105100.64115614952,71076.0157142857,72906.50482142858,5000,3000.0,3,3,0.4,Tier 1: $0k-$150k ($5.0k risk),21.993632680992423,trending
19,2024-04-09 06:30:00,70826.1,2024-04-09 07:45:00,70375.66285714287,stop_loss,9.157770546707226,-4125.0,-0.635976204897816,False,1.25,1.25,5,105100.64115614952,100975.64115614952,70375.66285714287,72121.10678571428,5000,3000.0,3,4,0.4,Tier 1: $0k-$150k ($5.0k risk),31.636486526418633,trending
20,2024-04-20 01:00:00,63461.0,2024-04-20 01:30:00,63503.45071428571,stop_loss,4.357076571376836,184.96101265248336,0.06689260220562393,False,1.25,0.75,2,100975.64115614952,101160.602168802,63503.45071428571,65638.49214285714,5000,3000.0,3,5,0.4,Tier 1: $0k-$150k ($5.0k risk),21.413346582800912,trending
21,2024-04-20 09:45:00,63583.4,2024-04-20 13:30:00,63990.200000000004,tp1_partial,7.549188354406292,3071.0098225725014,0.6397896306268662,True,0.75,0.75,15,101160.602168802,104231.61199137449,63252.23857142857,64411.30357142858,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),21.087277726935003,trending
21,2024-04-20 09:45:00,63583.4,2024-04-20 15:30:00,64411.30357142858,take_profit,11.323782531609437,9375.0,1.3020750249728361,False,0.75,0.75,23,104231.61199137449,113606.61199137449,63252.23857142857,64411.30357142858,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),21.087277726935003,trending
22,2024-05-14 06:30:00,61973.4,2024-05-14 10:15:00,61507.67571428571,stop_loss,13.41995724018178,-6250.0,-0.7514906164810901,False,0.75,0.75,15,113606.61199137449,107356.61199137449,61507.67571428571,63137.71071428572,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),21.174380367184092,trending
23,2024-06-04 09:45:00,68752.5,2024-06-04 11:30:00,69042.14285714286,tp1_partial,7.152637279545582,2071.7102977540803,0.42128338190299275,True,0.75,0.75,7,107356.61199137449,109428.32228912857,68472.88285714286,69451.54285714286,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk),21.82858634331713,trending
23,2024-06-04 09:45:00,68752.5,2024-06-04 13:15:00,69451.54285714286,take_profit,10.728955919318372,7500.0000000001555,1.016752637566436,False,0.75,1.25,14,109428.32228912857,116928.32228912873,68472.88285714286,69451.54285714286,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk),21.82858634331713,trending
24,2024-06-26 10:00:00,61320.0,2024-06-26 13:30:00,61686.02857142857,tp1_partial,8.020206754680649,2935.6248209775335,0.5969154785201745,True,1.25,1.25,14,116928.32228912873,119863.94711010627,61045.69285714286,62108.63303571429,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),24.57304708167151,trending
24,2024-06-26 10:00:00,61320.0,2024-06-26 17:00:00,61045.69285714286,stop_loss,12.030310132020974,-3300.0000000000005,-0.4473371540396967,False,1.25,1.25,28,119863.94711010627,116563.94711010627,61045.69285714286,62108.63303571429,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),24.57304708167151,trending
25,2024-06-28 08:15:00,61373.7,2024-06-28 11:15:00,61611.28571428571,tp1_partial,7.372698275913601,1751.6477860959778,0.3871132330065045,True,1.25,1.25,12,116563.94711010627,118315.59489620224,61134.981428571424,62060.01589285713,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk),23.80539203798938,trending
25,2024-06-28 08:15:00,61373.7,2024-06-28 14:15:00,61134.981428571424,stop_loss,11.0590474138704,-2640.0000000000005,-0.3889590678557319,False,1.25,1.25,24,118315.59489620224,115675.59489620224,61134.981428571424,62060.01589285713,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk),23.80539203798938,trending
26,2024-07-02 08:15:00,62681.1,2024-07-02 12:30:00,62908.05714285714,tp1_partial,11.287608258424783,2561.803320022786,0.3620822590176999,True,1.25,1.25,17,115675.59489620224,118237.39821622502,62437.47,63381.53624999999,5000,5000.0,0,2,0.0,Tier 1: $0k-$150k ($5.0k risk),26.27764977485399,trending
26,2024-07-02 08:15:00,62681.1,2024-07-02 14:00:00,62437.47,stop_loss,16.931412387637174,-4125.0,-0.38868175574455044,False,1.25,1.25,23,118237.39821622502,114112.39821622502,62437.47,63381.53624999999,5000,5000.0,0,2,0.0,Tier 1: $0k-$150k ($5.0k risk),26.27764977485399,trending
27,2024-07-07 07:15:00,57249.3,2024-07-07 08:45:00,57585.28571428572,tp1_partial,5.278817544869831,1773.607283397052,0.586881785953216,True,1.25,1.25,6,114112.39821622502,115886.00549962207,56936.729999999996,58147.938750000016,5000,3000.0,3,3,0.4,Tier 1: $0k-$150k ($5.0k risk),29.116174009573623,trending
27,2024-07-07 07:15:00,57249.3,2024-07-07 13:15:00,56936.729999999996,stop_loss,7.918226317304747,-2475.0,-0.5459804748704473,False,1.25,1.25,24,115886.00549962207,113411.00549962207,56936.729999999996,58147.938750000016,5000,3000.0,3,3,0.4,Tier 1: $0k-$150k ($5.0k risk),29.116174009573623,trending
28,2024-07-16 08:30:00,62706.5,2024-07-16 10:15:00,63319.72857142857,tp1_partial,2.2750103409561078,1395.1013413697335,0.9779346183068232,True,1.25,1.25,7,113411.00549962207,114806.10684099181,61981.228571428575,64791.65535714285,5000,3000.0,3,4,0.4,Tier 1: $0k-$150k ($5.0k risk),42.958653023703356,trending
28,2024-07-16 08:30:00,62706.5,2024-07-16 15:45:00,64791.65535714285,take_profit,3.4125155114341617,7115.625000000022,3.3252619060908395,False,1.25,1.25,29,114806.10684099181,121921.73184099182,61981.228571428575,64791.65535714285,5000,3000.0,3,4,0.4,Tier 1: $0k-$150k ($5.0k risk),42.958653023703356,trending
29,2024-07-21 07:15:00,66637.3,2024-07-21 09:45:00,66911.58571428571,tp1_partial,8.390267289943903,2301.3304566702927,0.4116098855831645,True,1.0,1.0,10,121921.73184099182,124223.06229766211,66375.09142857144,67391.14964285714,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),30.23790982040182,trending
29,2024-07-21 07:15:00,66637.3,2024-07-21 15:30:00,67391.14964285714,take_profit,12.585400934915853,9487.500000000206,1.1312727899496797,False,1.0,1.0,33,124223.06229766211,133710.5622976623,66375.09142857144,67391.14964285714,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),30.23790982040182,trending
30,2024-10-19 11:45:00,68071.6,2024-10-19 12:30:00,68233.95714285715,tp1_partial,11.767290371262312,1910.5036438485413,0.23850936786728227,True,1.25,1.25,3,133710.5622976623,135621.06594151087,67922.03285714287,68501.60553571429,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),20.94991579632644,trending
30,2024-10-19 11:45:00,68071.6,2024-10-20 03:00:00,68080.20714285715,stop_loss,17.650935556893465,151.92412390044117,0.01264424937440127,False,1.25,1.25,61,135621.06594151087,135772.99006541132,68080.20714285715,68501.60553571429,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),20.94991579632644,trending
31,2024-11-17 01:30:00,90232.0,2024-11-17 02:00:00,89798.08428571429,stop_loss,17.284462749513548,-7500.000000000001,-0.4808889465884773,False,1.5,1.5,2,135772.99006541132,128272.99006541132,89798.08428571429,91642.22607142857,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),25.449911226062266,trending
32,2024-11-28 10:00:00,94888.1,2024-11-28 11:45:00,95561.87142857144,tp1_partial,5.907322548250232,3980.18515236679,0.7100694697980378,True,1.5,1.5,7,128272.99006541132,132253.1752177781,94380.25571428573,96538.59392857143,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk),20.32643938950614,trending
32,2024-11-28 10:00:00,94888.1,2024-11-29 02:00:00,96538.59392857143,take_profit,8.860983822375347,14625.000000000093,1.7394108729876778,False,1.5,1.5,64,132253.1752177781,146878.1752177782,94380.25571428573,96538.59392857143,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk),20.32643938950614,trending
33,2025-01-03 08:30:00,96237.1,2025-01-03 09:30:00,96640.68571428572,tp1_partial,8.901096106406376,3592.3552300297965,0.41936603896596325,True,1.75,1.75,4,146878.1752177782,150470.53044780798,95900.06285714287,97332.47071428571,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),23.709878328974,trending
33,2025-01-03 08:30:00,96237.1,2025-01-03 15:00:00,97332.47071428571,take_profit,13.351644159609565,14625.000000000051,1.1382000437312656,False,1.75,1.75,26,150470.53044780798,165095.53044780804,95900.06285714287,97332.47071428571,5000,5000.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),23.709878328974,trending
34,2025-01-07 11:45:00,100787.0,2025-01-07 14:30:00,100386.87285714285,stop_loss,39.362488351916106,-15750.0,-0.39700273136133535,False,1.5,1.5,11,165095.53044780804,149345.53044780804,100386.87285714285,102087.41321428573,10500,10500.0,0,0,0.0,Tier 1: $0k-$150k ($5.0k risk),22.8401615858766,trending
35,2025-01-16 11:15:00,99024.5,2025-01-16 14:30:00,98435.81,stop_loss,12.740151862610151,-7500.0,-0.5944892425611867,False,1.5,1.5,13,149345.53044780804,141845.53044780804,98435.81,100937.74250000001,5000,5000.0,0,1,0.0,Tier 1: $0k-$150k ($5.0k risk),22.647468339204433,trending
36,2025-01-18 06:30:00,103354.9,2025-01-18 08:00:00,102403.27857142857,stop_loss,6.305028260037416,-6000.0,-0.9207317974971899,False,1.5,1.5,6,141845.53044780804,135845.53044780804,102403.27857142857,106447.66964285713,5000,5000.0,0,2,0.0,Tier 1: $0k-$150k ($5.0k risk),39.295188155823105,trending
37,2025-01-18 08:00:00,102562.5,2025-01-18 09:15:00,103329.7,tp1_partial,3.8128853737717066,2925.245658757642,0.7480316879951221,True,1.5,1.5,5,135845.53044780804,138770.77610656567,101775.69428571429,105119.61857142857,5000,5000.0,0,3,0.0,Tier 1: $0k-$150k ($5.0k risk),43.37797810196577,trending
37,2025-01-18 08:00:00,102562.5,2025-01-19 02:15:00,105119.61857142857,take_profit,5.71932806065756,14624.999999999978,2.4932295638547886,False,1.5,1.5,73,138770.77610656567,153395.77610656564,101775.69428571429,105119.61857142857,5000,5000.0,0,3,0.0,Tier 1: $0k-$150k ($5.0k risk),43.37797810196577,trending
